ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.2035062313079834,0.19614077170408484,0.09826918944733709,262,236,0,0.5070422535211268,0.47702581888241974,0.4815892955958519,0.3290260254609268
AXP,0.22046921344507808,0.368252158164978,0.14778294471989994,0.17193452551011257,277,221,0,0.5150905432595574,0.6997605558767407,0.7448065017417199,0.22144177182405345
BA,-0.07882387118420486,0.41930460929870605,0.4981284804829109,0.19386143834770664,282,216,0,0.5271629778672032,0.6880271240561129,0.7222941690000306,0.2931150597205831
CAT,0.23573711340327863,0.15541136264801025,-0.08032575075526838,0.07583643581559407,251,247,0,0.5311871227364185,0.40392988331622826,0.40987299162147306,0.2813393260543423
CSCO,0.05026452267676018,0.09325087070465088,0.0429863480278907,0.04614809354757665,229,269,0,0.5173824130879345,0.3190898777099722,0.3123161422499306,0.2096097229035045
CVX,0.9594979092043732,0.05277550220489502,-0.9067224069994781,0.02636642813294121,240,258,0,0.5090543259557344,0.2382531907845626,0.2516278526207608,0.2867979299469871
DD,-0.18278168004202977,0.4392048120498657,0.6219864920918955,0.20230276812971004,236,262,0,0.520242914979757,0.7118988407599712,0.8138381643052293,0.32117557067948216
DIS,-0.5148807916132807,1.5542538166046143,2.0691346082178947,0.6072573608024965,264,234,0,0.5564516129032258,1.9365730207775953,2.284867695068526,0.22119390887706675
GE,-0.08526199381769828,-0.041364848613739014,0.043897145203959265,-0.021149982614360296,214,284,0,0.5051124744376279,0.12009011592802654,0.12408891129831266,0.3617312389833436
GS,0.16863499497986179,0.38045811653137207,0.21182312155151028,0.17721322054204536,268,230,0,0.5372233400402414,0.7001558597689137,0.7106064004399877,0.2474380220139481
HD,0.16454659350909373,-0.18239468336105347,-0.3469412768701472,-0.09688093937328035,262,236,0,0.48282828282828283,-0.30647131255125565,-0.30335272885389186,0.39457697135178443
IBM,0.14614200697340052,0.5520815849304199,0.4059395779570194,0.24912920009147665,227,271,0,0.5401606425702812,1.0762553686281204,1.1142728547913554,0.1841695082274917
INTC,-0.4871944152951446,-0.19260305166244507,0.29459136363269955,-0.10260460717830355,201,297,0,0.4827586206896552,-0.19944495678189503,-0.21609667051907736,0.37103200774787537
JNJ,0.10842692670342746,-0.077095627784729,-0.18552255448815647,-0.039785074453125624,252,246,0,0.4939516129032258,-0.15319502359079637,-0.15014508739316038,0.3301855141893012
JPM,-0.028612798702809528,0.5372803211212158,0.5658931198240253,0.2430870791942492,244,254,0,0.5415821501014199,0.9494312709417223,0.9906482439614697,0.2307966425087599
KO,0.26713146700412294,0.42250895500183105,0.15537748799770812,0.19522459857494856,248,250,0,0.5241935483870968,1.0162674190674257,1.15760574889921,0.1956870557279857
MCD,0.2301265183912824,0.05157470703125,-0.1785518113600324,0.025773872407755194,255,243,0,0.5492957746478874,0.25001011332799233,0.2208775921703701,0.1852587778622837
MMM,-0.27409203432012896,0.3012017011642456,0.5752937354843746,0.14251295756005744,242,256,0,0.5311871227364185,0.683086379470445,0.6878821921435052,0.24920894403892788
MRK,0.36794815837694883,0.12141859531402588,-0.24652956306292295,0.059701825266625486,235,263,0,0.5060483870967742,0.38772279515303615,0.40826952462700083,0.21680982004068736
MSFT,0.10267139301606432,-0.10506653785705566,-0.20773793087311998,-0.05462316521680133,261,237,0,0.5020242914979757,-0.11548210312725776,-0.11491119526424613,0.2993678592426741
NKE,-0.204284259041831,-0.19882071018218994,0.005463548859641065,-0.10610827743670082,267,231,0,0.5,-0.34092713705306665,-0.33369883914703946,0.3010493573674699
PFE,0.35663227581280976,0.5346843004226685,0.1780520246098587,0.24202438309007346,248,250,0,0.5182186234817814,1.1302288355159325,1.1852631498213146,0.16972613378700058
PG,0.09945586396842732,0.6106938123703003,0.511237948401873,0.27278064185265527,256,242,0,0.5372233400402414,1.427868927671252,1.5645617339124671,0.09971712684351618
RTX,0.44584518275896845,0.23683416843414307,-0.20901101432482538,0.11355540548438547,268,230,0,0.5292929292929293,0.5720253198223846,0.5571732439755993,0.31676324449266213
TRV,0.3642582804721688,-0.11208069324493408,-0.4763389737171029,-0.058379843252533536,228,270,0,0.5070422535211268,-0.16546171203390894,-0.16385072014789218,0.20327947829897564
UNH,0.46966040935767506,0.4149320125579834,-0.05472839679969166,0.1919988375610484,267,231,0,0.5080321285140562,0.8753773084843366,0.9576614754027978,0.24567310878953352
VZ,-0.31430556641749197,0.4250171184539795,0.7393226848714715,0.19629053803920904,197,301,0,0.5304878048780488,1.1058091359147295,1.1513017558444767,0.21021861049646917
WBA,-0.2167714882013495,-0.26681703329086304,-0.05004554508951353,-0.14533836412184298,233,265,0,0.5040322580645161,-0.3926883496213205,-0.37393188355456203,0.38606331766970264
WMT,-0.037341350076458446,1.3518376350402832,1.3891789851167418,0.541491241604642,258,240,0,0.5080645161290323,2.1017521725609125,2.988669460288562,0.13546744691389817
XOM,1.3548249934338177,0.5228710174560547,-0.831953975977763,0.23717729462088988,219,279,0,0.498989898989899,0.9643883433042274,1.1049298385669084,0.21027643207019325
