ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.49160945415496826,0.4842439945510697,0.22426005297719143,308,96,94,0.5260545905707196,0.9309541422780996,0.860935993349776,0.20447768787813478
AXP,0.22046921344507808,-0.05678039789199829,-0.2772496113370764,-0.029147006509052886,287,120,91,0.4876847290640394,-0.005920669069305121,-0.005476191241100072,0.32452118317471484
BA,-0.07882387118420486,0.1675928831100464,0.24641675429425125,0.08156117689214715,307,97,94,0.5186104218362283,0.4117061819427624,0.3978379626606203,0.25623742151325857
CAT,0.23573711340327863,-0.1967650055885315,-0.4325021189918101,-0.1049483998861035,285,132,81,0.5035971223021583,-0.2473091252765606,-0.2071296700555198,0.3904408985874023
CSCO,0.05026452267676018,-0.011595368385314941,-0.06185989106207512,-0.005884437681846433,273,134,91,0.5,0.10856539039554605,0.10741824442713742,0.24564241149437674
CVX,0.9594979092043732,0.05696582794189453,-0.9025320812624786,0.028431614929693927,263,126,109,0.5360824742268041,0.23503845386998215,0.21581958131638174,0.26577363616845723
DD,-0.18278168004202977,-0.34488558769226074,-0.16210390765023097,-0.19266821018856573,264,123,111,0.45714285714285713,-0.55465530702521,-0.5137192506810786,0.38418336281099474
DIS,-0.5148807916132807,0.40196502208709717,0.9168458137003779,0.18645848932255848,279,125,94,0.5174129353233831,0.8551106497252916,0.8895427267198399,0.13791513527116211
GE,-0.08526199381769828,-0.4757365584373474,-0.39047456461964913,-0.27875082952874586,289,125,84,0.4864864864864865,-0.9322516682886633,-0.7857435368532195,0.5372945780324994
GS,0.16863499497986179,0.008650779724121094,-0.1599842152557407,0.004368189929569111,272,141,85,0.49271844660194175,0.17062230825023894,0.16171591106445535,0.2468630502054924
HD,0.16454659350909373,-0.17797553539276123,-0.34252212890185496,-0.09441414786886371,298,127,73,0.48578199052132703,-0.3727518873736404,-0.34713978795947203,0.2862062107796952
IBM,0.14614200697340052,0.34421372413635254,0.19807171716295202,0.16147019095473647,254,146,98,0.51,0.8265817819468351,0.8195754760667721,0.13475630703301447
INTC,-0.4871944152951446,0.36164867877960205,0.8488430940747467,0.1690690291834156,254,158,86,0.5122549019607843,0.7769540328227028,0.7488130340986605,0.1930985130729825
JNJ,0.10842692670342746,-0.015301167964935303,-0.12372809466836276,-0.0077722462809862725,276,129,93,0.47146401985111663,0.04606249250431626,0.04529881169777939,0.21959496516202687
JPM,-0.028612798702809528,-0.011844158172607422,0.016768640530202106,-0.006011066586337099,292,131,75,0.4904306220095694,0.10264689466994921,0.1008181004011628,0.3649995909944479
KO,0.26713146700412294,-0.1530206799507141,-0.42015214695483705,-0.08060549833731978,265,126,107,0.49230769230769234,-0.48236490154897504,-0.4424642421325766,0.18261816983244042
MCD,0.2301265183912824,0.30149149894714355,0.07136498055586116,0.14264171101176526,300,127,71,0.5117370892018779,0.9060620657075972,0.9377748293298003,0.19460566476116517
MMM,-0.27409203432012896,0.2898695468902588,0.5639615812103878,0.13746707167986516,266,127,105,0.5408163265306123,0.7570075470458448,0.676092762346577,0.19129085647713512
MRK,0.36794815837694883,0.12242817878723145,-0.24551997958971739,0.06018447583723807,266,140,92,0.49504950495049505,0.4037048329929527,0.39807313810507877,0.31165623411125737
MSFT,0.10267139301606432,0.016035795211791992,-0.08663559780427232,0.0080826142188557,316,98,84,0.4951219512195122,0.12357982610933471,0.11690727930190413,0.2546462144692201
NKE,-0.204284259041831,-0.17639726400375366,0.027886995038077345,-0.09353473671848633,288,126,84,0.49514563106796117,-0.31543446910191436,-0.2799251693528453,0.3249604114459851
PFE,0.35663227581280976,-0.12493342161178589,-0.48156569742459565,-0.06530181686700065,262,131,105,0.49872122762148335,-0.22441883185100148,-0.19976440997450493,0.20414809677037818
PG,0.09945586396842732,0.19152069091796875,0.09206482694954143,0.09272086917690125,287,129,82,0.5216346153846154,0.5812133038964896,0.5583904121309985,0.185899689362526
RTX,0.44584518275896845,0.36232852935791016,-0.0835166534010583,0.16936435826151586,256,130,112,0.5300261096605744,0.872667475318741,0.739181204059602,0.2526581124954172
TRV,0.3642582804721688,-0.08714467287063599,-0.4514029533428048,-0.04509001466686979,273,121,104,0.5,-0.1653426378447457,-0.1474379156853388,0.25261019862632117
UNH,0.46966040935767506,0.09503185749053955,-0.3746285518671355,0.047010139851884514,300,119,79,0.5059665871121718,0.32859556835538106,0.31267664755335617,0.1823075511369233
VZ,-0.31430556641749197,-0.015938997268676758,0.2983665691488152,-0.008097523097588488,225,139,134,0.5195530726256983,0.011821975406658247,0.009512710036877854,0.17565962176563854
WBA,-0.2167714882013495,-0.3249039649963379,-0.10813247679498839,-0.18030014113141835,284,131,83,0.472289156626506,-0.5903488666149317,-0.5112644277524057,0.3934876785831248
WMT,-0.037341350076458446,0.14809703826904297,0.18543838834550141,0.07238471478752273,282,108,108,0.5,0.50803613186063,0.49325779341202286,0.15622597152253123
XOM,1.3548249934338177,0.047255516052246094,-1.3075694773815716,0.02363971541694987,255,121,122,0.5120643431635389,0.21610827642227437,0.19611185623693633,0.20090414850910265
