ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.5455806255340576,0.5382151659301591,0.24647892192601817,297,104,97,0.535,1.0017102008237135,0.905648908993451,0.20872766682294291
AXP,0.22046921344507808,0.01258385181427002,-0.20788536163080806,0.006348064011480137,278,122,98,0.48120300751879697,0.14944841948217605,0.1383688932335101,0.38638084827648256
BA,-0.07882387118420486,0.26458513736724854,0.3434090085514534,0.1261291014084831,287,107,104,0.5419847328244275,0.5490669328494898,0.5096228881441033,0.2852212675648356
CAT,0.23573711340327863,-0.42317432165145874,-0.6589114350547374,-0.24302279397775084,268,148,82,0.4855769230769231,-0.854646440741356,-0.7040743546786256,0.5133492648043276
CSCO,0.05026452267676018,0.10214698314666748,0.0518824604699073,0.050447164311349546,261,139,98,0.5063613231552163,0.3398661942424921,0.3384036335841716,0.194371226920315
CVX,0.9594979092043732,0.03965568542480469,-0.9198422237795685,0.019873977235634888,243,137,118,0.554089709762533,0.1898951258639068,0.16509660291414802,0.32543757627294817
DD,-0.18278168004202977,-0.3541063070297241,-0.17132462698769435,-0.19843838115334145,246,130,122,0.4572192513368984,-0.5904099143216411,-0.5675658397312311,0.4847081105995542
DIS,-0.5148807916132807,0.04159438610076904,0.5564751777140498,0.020835897454521746,271,132,95,0.5037406483790524,0.20286164735123427,0.20315616355444768,0.19189794662580098
GE,-0.08526199381769828,-0.4288603663444519,-0.3435983725267536,-0.24680792551000597,293,122,83,0.4877450980392157,-0.7908957955869057,-0.7100645727065998,0.47638393052808126
GS,0.16863499497986179,-0.2581477165222168,-0.4267827115020786,-0.14023947977151807,255,157,86,0.4720194647201946,-0.43700098379208374,-0.39766396381379665,0.3938711611387566
HD,0.16454659350909373,-0.4433431029319763,-0.60788969644107,-0.2565338628963183,293,124,81,0.4782608695652174,-1.3059923698773623,-1.0714025337324178,0.4901630172936044
IBM,0.14614200697340052,0.09638857841491699,-0.049753428558483526,0.047666365222068796,251,146,101,0.5037783375314862,0.3286725170731454,0.30691589671757336,0.35734055769527906
INTC,-0.4871944152951446,0.1342792510986328,0.6214736663937774,0.06583415288556416,244,159,95,0.49874686716791977,0.3981243493347877,0.3775676675903246,0.2419838627168357
JNJ,0.10842692670342746,-0.18039727210998535,-0.2888241988134128,-0.09576516037951666,269,127,102,0.467005076142132,-0.5351100253701488,-0.4729080610293394,0.33646282838345204
JPM,-0.028612798702809528,0.14376699924468994,0.17237979794749947,0.07033619506005384,276,137,85,0.5,0.3949783527897955,0.3889431774017208,0.3675791426095039
KO,0.26713146700412294,-0.08279168605804443,-0.34992315306216737,-0.042788528117361446,248,141,109,0.5025773195876289,-0.22831327367707688,-0.20577309438932093,0.19659261311006748
MCD,0.2301265183912824,0.22705674171447754,-0.0030697766768048584,0.109092202890122,294,122,82,0.5180722891566265,0.7433282177245103,0.7376462152244606,0.17539631774126768
MMM,-0.27409203432012896,0.37632298469543457,0.6504150190155635,0.17542749739975183,254,136,108,0.532133676092545,0.9257747909347794,0.8537292258223367,0.16746639381268716
MRK,0.36794815837694883,-0.27449649572372437,-0.6424446541006732,-0.14987999472897895,251,154,93,0.4665012406947891,-0.7564949907600594,-0.7173064549970994,0.4703669721878025
MSFT,0.10267139301606432,0.39195823669433594,0.2892868436782716,0.1821656084619443,299,120,79,0.5204819277108433,0.8272930162688845,0.8057527726881849,0.16583212357180535
NKE,-0.204284259041831,-0.17166376113891602,0.03262049790291499,-0.09090221439880442,272,140,86,0.4926829268292683,-0.29940377108559535,-0.2645945409898925,0.3439563993307545
PFE,0.35663227581280976,0.4203200340270996,0.06368775821428985,0.19429357442345974,249,140,109,0.5489690721649485,0.987864571393564,0.8827199834548798,0.12893627871294291
PG,0.09945586396842732,0.1549065113067627,0.05545064733833538,0.0755985375895245,278,136,84,0.5157384987893463,0.4884104763096246,0.47119755771041194,0.16042024706549296
RTX,0.44584518275896845,0.3682748079299927,-0.07757037482897577,0.17194434231886047,252,131,115,0.5552631578947368,0.8844549612811391,0.7174417592209816,0.3116470406746542
TRV,0.3642582804721688,-0.0017511248588562012,-0.366009405331025,-0.0008864949580810189,269,123,106,0.5229591836734694,0.08549585589995319,0.0755608069751129,0.16673389953068837
UNH,0.46966040935767506,-0.08622246980667114,-0.5558828791643462,-0.044601980849907186,302,118,78,0.4880952380952381,-0.09248981473013071,-0.08923079179004952,0.2669169979390445
VZ,-0.31430556641749197,-0.06273645162582397,0.251569114791668,-0.03225406484668103,211,151,136,0.5337078651685393,-0.14946771060609854,-0.11547031312498708,0.2605565511556543
WBA,-0.2167714882013495,0.007921814918518066,0.22469330311986757,0.004000816770267646,274,138,86,0.49271844660194175,0.1602249853017697,0.14110659022827965,0.3304685569979405
WMT,-0.037341350076458446,-0.09996408224105835,-0.0626227321645999,-0.05189949594373433,277,111,110,0.47150259067357514,-0.16252251067066245,-0.15998705086760295,0.21375257115479523
XOM,1.3548249934338177,-0.12049710750579834,-1.475322100939616,-0.06290695199089225,236,133,129,0.505464480874317,-0.2360943878624361,-0.21152242896233386,0.24327563076763878
