ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.6601312160491943,0.6527657564452958,0.29240124304094506,274,224,0,0.5311871227364185,1.0670376137648163,1.0885920409574885,0.24235853825290765
AXP,0.22046921344507808,1.012601613998413,0.792132400553335,0.4246519428381865,284,214,0,0.5331991951710262,1.4437414803189674,1.5569382885985799,0.24203132957443413
BA,-0.07882387118420486,0.42954742908477783,0.5083713002689827,0.1982135197789685,293,205,0,0.5251509054325956,0.6985453328532134,0.7469278743516126,0.2754401216588401
CAT,0.23573711340327863,-0.029916822910308838,-0.26565393631358747,-0.015252192367182782,257,241,0,0.5150905432595574,0.10199717723186776,0.10190504216596975,0.3079210582033536
CSCO,0.05026452267676018,0.6021294593811035,0.5518649367043433,0.26935156027290486,277,221,0,0.49284253578732107,1.0748836731075977,1.2927201935062138,0.18176474236704396
CVX,0.9594979092043732,0.1450585126876831,-0.8144393965166901,0.07094760389325239,288,210,0,0.5372233400402414,0.3950207020955138,0.40567115005292376,0.23849914285176044
DD,-0.18278168004202977,0.15982162952423096,0.3426033095662607,0.07791248113046545,268,230,0,0.5222672064777328,0.38517878606146744,0.4024829965456885,0.34481151172547897
DIS,-0.5148807916132807,1.0133414268493652,1.528222218462646,0.42491691765629946,288,210,0,0.5403225806451613,1.4771521629082438,1.724483514654749,0.2562206387123789
GE,-0.08526199381769828,-0.08437281847000122,0.0008891753476970576,-0.0436238702391869,277,221,0,0.5051124744376279,0.05565020531555746,0.053455572404376324,0.376994446468729
GS,0.16863499497986179,-0.11386799812316895,-0.28250299310303073,-0.059339438669736566,278,220,0,0.4969818913480885,-0.095520754082623,-0.09296267020804401,0.397847008148247
HD,0.16454659350909373,0.024258136749267578,-0.14028845675982615,0.012202530509699105,267,231,0,0.5050505050505051,0.18349564932020082,0.17843837530749088,0.27968360986654983
IBM,0.14614200697340052,0.7105413675308228,0.5643993605574222,0.3121129141607595,262,236,0,0.5060240963855421,1.2895917801585046,1.4639025618566284,0.1527905697577949
INTC,-0.4871944152951446,-0.3056809902191162,0.1815134250760284,-0.16857119915194296,239,259,0,0.5111561866125761,-0.43743007340166407,-0.39942526263071804,0.46499819541688914
JNJ,0.10842692670342746,0.0493474006652832,-0.05907952603814426,0.024673879123733977,271,227,0,0.5040322580645161,0.2387077039262867,0.23851364470985628,0.27330301512782385
JPM,-0.028612798702809528,0.44608163833618164,0.47469443703899117,0.20520638207709796,265,233,0,0.5253549695740365,0.8312827441821466,0.8711355610986153,0.2431049571115597
KO,0.26713146700412294,0.3236372470855713,0.056505780081448354,0.15243924141978704,264,234,0,0.5221774193548387,0.8223191772586821,0.9234529972143896,0.1510160828535742
MCD,0.2301265183912824,0.1305629014968872,-0.09956361689439519,0.06406563571428392,273,225,0,0.5372233400402414,0.4485490667581498,0.4189707430875213,0.19959982973504872
MMM,-0.27409203432012896,0.4642000198364258,0.7382920541565547,0.21282404077604533,281,217,0,0.5432595573440644,0.9378118885489461,0.9211083226086061,0.23775471620711594
MRK,0.36794815837694883,0.16812407970428467,-0.19982407867266416,0.0818101413423391,242,256,0,0.5060483870967742,0.48853771515427874,0.529686694867597,0.351304051090011
MSFT,0.10267139301606432,0.4501304626464844,0.34745906963042006,0.20691273447543845,285,213,0,0.5161943319838057,0.8477902889521174,0.8853101300431985,0.188423823806985
NKE,-0.204284259041831,-0.4661294221878052,-0.26184516314597417,-0.272092755610712,285,213,0,0.4939516129032258,-1.2147281237008216,-1.1027412445288292,0.48887788678308125
PFE,0.35663227581280976,0.7277135848999023,0.3710813090870926,0.3187620068255197,288,210,0,0.520242914979757,1.3634896561694605,1.4557254784305598,0.16283673250963152
PG,0.09945586396842732,0.7397041320800781,0.6402482681116508,0.32338541642542484,273,225,0,0.5150905432595574,1.6518730849345062,1.9168063151301602,0.21874817789509574
RTX,0.44584518275896845,0.2955373525619507,-0.15030783019701777,0.1399935096075684,283,215,0,0.5171717171717172,0.6711273004959412,0.6644862554919841,0.2962320138259763
TRV,0.3642582804721688,0.08080613613128662,-0.2834521443408822,0.0401050400437748,253,245,0,0.5291750503018109,0.3213198695419358,0.3194513319124622,0.19142658120425535
UNH,0.46966040935767506,0.06152033805847168,-0.4081400712992034,0.030671707026233674,290,208,0,0.4859437751004016,0.2537704730632378,0.2786651740358365,0.27516919752701813
VZ,-0.31430556641749197,0.21424424648284912,0.5285498129003411,0.10321687166778681,238,260,0,0.508130081300813,0.6390480476302226,0.6580721899838243,0.1140676620938412
WBA,-0.2167714882013495,-0.23070847988128662,-0.013936991679937116,-0.12429208813555614,259,239,0,0.5161290322580645,-0.308151341380046,-0.2884543577432675,0.43985589366763705
WMT,-0.037341350076458446,1.1357300281524658,1.1730713782289244,0.4681093207145266,269,229,0,0.5141129032258065,1.8761937915317064,2.566933299050904,0.09986118173544462
XOM,1.3548249934338177,0.23806941509246826,-1.1167555783413494,0.11411802935468462,258,240,0,0.5171717171717172,0.5585066774193352,0.5906240107257721,0.20062159157708492
