ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.6348074674606323,0.6274420078567338,0.2823874224902212,271,227,0,0.5130784708249497,1.0383585402785551,1.1185909350908432,0.18839398375093563
AXP,0.22046921344507808,-0.3054141402244568,-0.5258833536695349,-0.1684095165888846,262,236,0,0.49295774647887325,-0.596730003327604,-0.541566934461914,0.3670939420105889
BA,-0.07882387118420486,0.06969177722930908,0.14851564841351395,0.03467888323446067,265,233,0,0.5010060362173038,0.2666314679395243,0.2893518098978747,0.27795259796179167
CAT,0.23573711340327863,-0.32440119981765747,-0.5601383132209361,-0.17999129239395972,256,242,0,0.5090543259557344,-0.5202940616859197,-0.4638441183103328,0.4621241781236031
CSCO,0.05026452267676018,0.05322837829589844,0.002963855619138256,0.026589821936995772,258,240,0,0.50920245398773,0.24658054245863406,0.23684901331190264,0.23895441628273736
CVX,0.9594979092043732,0.02604663372039795,-0.9334512754839752,0.013096515495320205,252,246,0,0.5251509054325956,0.1903991941201662,0.19491613261352186,0.20232994406956187
DD,-0.18278168004202977,0.3144611120223999,0.4972427920644297,0.14838951569014625,247,251,0,0.5161943319838057,0.5736765717347281,0.6491635900112724,0.23816001366953066
DIS,-0.5148807916132807,0.3073934316635132,0.8222742232767939,0.14526078997419667,267,231,0,0.5100806451612904,0.6529155019912283,0.7176008852591306,0.34945351449402934
GE,-0.08526199381769828,-0.21317893266677856,-0.12791693884908029,-0.11425086529519846,277,221,0,0.49897750511247446,-0.1650901511224813,-0.15900881594375993,0.45362488486170843
GS,0.16863499497986179,-0.5003828704357147,-0.6690178654155765,-0.2961125497924605,253,245,0,0.4909456740442656,-1.1260042448932595,-0.9889060523145752,0.608922214254665
HD,0.16454659350909373,-0.0459064245223999,-0.21045301803149363,-0.023499343087168167,281,217,0,0.498989898989899,0.029011304299873846,0.028446307649698296,0.20518840203049604
IBM,0.14614200697340052,0.5765516757965088,0.43040966882310827,0.2590562075271188,242,256,0,0.5180722891566265,1.110461252586876,1.204705571429756,0.21697259572575844
INTC,-0.4871944152951446,-0.09288591146469116,0.39430850383045346,-0.04813379632468673,232,266,0,0.513184584178499,-0.007468650772103909,-0.006952320916151165,0.3822875108894007
JNJ,0.10842692670342746,0.03431141376495361,-0.07411551293847385,0.017217725956230723,248,250,0,0.48588709677419356,0.17296132314938512,0.18106594599849282,0.2868793441418065
JPM,-0.028612798702809528,-0.19163912534713745,-0.16302632664432792,-0.10206262655142184,260,238,0,0.4827586206896552,-0.28904321715352205,-0.29533012224259697,0.31280875240189315
KO,0.26713146700412294,0.3738851547241211,0.10675368771999816,0.1743734983601275,248,250,0,0.5100806451612904,0.922676300536083,1.040716639355608,0.1890902781674021
MCD,0.2301265183912824,0.28888916969299316,0.05876265130171077,0.1370295102886121,284,214,0,0.49899396378269617,0.8082244660815058,0.8902805637961421,0.20673644475436226
MMM,-0.27409203432012896,0.3964730501174927,0.6705650844376216,0.18410433085910038,253,245,0,0.5251509054325956,0.8345721879470508,0.8940134405307338,0.14735309287227452
MRK,0.36794815837694883,0.05357515811920166,-0.31437300025774717,0.026760848712463536,224,274,0,0.49193548387096775,0.23294263639930843,0.25423682540563947,0.3116228514044563
MSFT,0.10267139301606432,0.14722967147827148,0.04455827846220717,0.07197467399259327,269,229,0,0.5060728744939271,0.37962312967198514,0.3904822028889379,0.28851183061749885
NKE,-0.204284259041831,-0.2990133762359619,-0.09472911719413091,-0.16454049187986153,274,224,0,0.5100806451612904,-0.6275569105347061,-0.5820771878109734,0.3381488494351453
PFE,0.35663227581280976,0.5326921939849854,0.1760599181721756,0.2412083005001342,246,252,0,0.5364372469635628,1.1273834043843871,1.1209410135652025,0.16227305624113122
PG,0.09945586396842732,0.9596070051193237,0.8601511411508964,0.405544324236651,241,257,0,0.5271629778672032,1.999832995744166,2.4159414738572824,0.1763199116508937
RTX,0.44584518275896845,0.3220566511154175,-0.12378853164355097,0.15174266419140925,260,238,0,0.5191919191919192,0.7145708892309736,0.7031053080507873,0.31364440878579525
TRV,0.3642582804721688,0.01258695125579834,-0.35167132921637045,0.006349622743782701,254,244,0,0.5191146881287726,0.1597596270954574,0.16069298709876878,0.21717969595198586
UNH,0.46966040935767506,0.2513768672943115,-0.21828354206336353,0.12016174447427375,288,210,0,0.5220883534136547,0.6096630282362483,0.6271902339202053,0.23104544125047005
VZ,-0.31430556641749197,0.329983115196228,0.64428868161372,0.1552317721407417,222,276,0,0.5142276422764228,0.9042716340707475,0.935703429401709,0.17187150305470697
WBA,-0.2167714882013495,0.15993070602416992,0.3767021942255194,0.077963777260462,248,250,0,0.49798387096774194,0.4117810751594071,0.42978086884006633,0.3222464785608096
WMT,-0.037341350076458446,1.23238205909729,1.2697234091737486,0.5013615072681459,244,254,0,0.5100806451612904,1.9795967469873614,2.7943730364230026,0.11249225442952666
XOM,1.3548249934338177,-0.4099208116531372,-1.7647458050869549,-0.23427100845813853,250,248,0,0.49292929292929294,-0.8912873393963089,-0.8691250424131458,0.4992020527488964
