ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,1.2598152160644531,1.2524497564605546,0.5106694050982066,264,234,0,0.5432595573440644,1.6371475449397002,1.6855230944858133,0.24062110215810195
AXP,0.22046921344507808,0.2961461544036865,0.07567694095860844,0.14026455947413363,260,238,0,0.5130784708249497,0.5958037380451102,0.6353668381794346,0.2879516384026083
BA,-0.07882387118420486,-0.1513100266456604,-0.07248615546145554,-0.07966632487450098,265,233,0,0.5130784708249497,-0.07552515071712598,-0.07431644962542124,0.4857806075036563
CAT,0.23573711340327863,-0.0030237436294555664,-0.2387608570327342,-0.0015312315740370064,242,256,0,0.5372233400402414,0.14963892779167318,0.14218431071787527,0.39016399588272227
CSCO,0.05026452267676018,0.27375292778015137,0.22348840510339119,0.13025292851389203,253,245,0,0.5112474437627812,0.6227144895488964,0.6189064996447327,0.2160525184543281
CVX,0.9594979092043732,0.06312692165374756,-0.8963709875506256,0.031460756636191745,254,244,0,0.5130784708249497,0.2565118433106923,0.26979326343047877,0.25053753900515285
DD,-0.18278168004202977,0.5230309963226318,0.7058126763646616,0.23724305909706067,233,265,0,0.520242914979757,0.7982027759570166,0.9216177033870298,0.36871443772470824
DIS,-0.5148807916132807,0.5229092836380005,1.0377900752512812,0.23719302548046883,256,242,0,0.532258064516129,0.9453937722799683,0.9638588848660161,0.2366061822436309
GE,-0.08526199381769828,-0.26540327072143555,-0.18014127690373727,-0.1445048310532806,241,257,0,0.47648261758691207,-0.26700177895103744,-0.27777296112938654,0.38550319753717455
GS,0.16863499497986179,0.05639827251434326,-0.11223672246551852,0.028152134397904094,253,245,0,0.5030181086519114,0.21925336962374778,0.22252907405131148,0.3153107402303544
HD,0.16454659350909373,-0.07420879602432251,-0.23875538953341624,-0.03826638390864434,258,240,0,0.5070707070707071,-0.036046262988828404,-0.03412489378940241,0.2799556638710164
IBM,0.14614200697340052,0.29704558849334717,0.15090358151994665,0.14066488914275976,231,267,0,0.5321285140562249,0.6844432641005761,0.6569313419325914,0.19118129787099697
INTC,-0.4871944152951446,0.1443883180618286,0.6315827333569732,0.07063037299695818,217,281,0,0.5253549695740365,0.36610977725248034,0.3449169942760457,0.22177536006911167
JNJ,0.10842692670342746,0.0027685165405273438,-0.10565841016290012,0.001399979452788358,249,249,0,0.49193548387096775,0.08437626833705351,0.0855443372242396,0.28182780745879954
JPM,-0.028612798702809528,0.6128262281417847,0.6414390268445942,0.27363303846561093,237,261,0,0.5314401622718052,1.042039041058957,1.1308655808476138,0.16310941111804433
KO,0.26713146700412294,0.2749873399734497,0.007855872969326771,0.13080706651255336,248,250,0,0.5,0.7215923034140012,0.842006758982927,0.18627266223231226
MCD,0.2301265183912824,0.001582503318786621,-0.22854401507249578,0.0008004720641818786,263,235,0,0.5331991951710262,0.1162023156019614,0.10563733214403935,0.16429720852309476
MMM,-0.27409203432012896,0.3116335868835449,0.5857256212036739,0.14713882454936278,256,242,0,0.5231388329979879,0.7003352187823226,0.706942218466704,0.1751269697488208
MRK,0.36794815837694883,-0.04338550567626953,-0.41133366405321836,-0.02219458951957487,247,251,0,0.5040322580645161,-0.005606491015299837,-0.005735241166959216,0.2869637048642039
MSFT,0.10267139301606432,-0.29295068979263306,-0.3956220828086974,-0.1608918834746932,263,235,0,0.48582995951417,-0.5858115633600074,-0.5862444670469065,0.3295497743275087
NKE,-0.204284259041831,0.06554162502288818,0.2698258840647192,0.03264559512049359,261,237,0,0.5201612903225806,0.27072428026823375,0.27180436865293706,0.23308044874814426
PFE,0.35663227581280976,0.36849749088287354,0.011865215070063773,0.17204085277523862,244,254,0,0.520242914979757,0.8620401244139161,0.8905744812793752,0.19444006592763155
PG,0.09945586396842732,0.7882986068725586,0.6888427429041313,0.3419636192562885,260,238,0,0.5291750503018109,1.7322227766877398,1.9800938927871437,0.12411606592539107
RTX,0.44584518275896845,0.2261720895767212,-0.21967309318224726,0.10868751138331012,260,238,0,0.5414141414141415,0.5535705278473526,0.5289551121825674,0.3306302158871032
TRV,0.3642582804721688,-0.13350659608840942,-0.4977648765605782,-0.06994694755244224,246,252,0,0.5150905432595574,-0.22599863952509708,-0.22205818633783084,0.19675384078992308
UNH,0.46966040935767506,0.38213813304901123,-0.08752227630866383,0.17793796710307097,265,233,0,0.4919678714859438,0.8244464585049924,0.9298831225752339,0.19325273679661883
VZ,-0.31430556641749197,0.29473674297332764,0.6090423093908196,0.13963696758175415,199,299,0,0.5182926829268293,0.8259302895384182,0.8562058699263048,0.19012193436417102
WBA,-0.2167714882013495,-0.28154635429382324,-0.06477486609247374,-0.1540702304781456,264,234,0,0.5100806451612904,-0.42897017133165377,-0.4152894980356508,0.41834191858591485
WMT,-0.037341350076458446,1.8797369003295898,1.9170782504060484,0.7078258832830122,250,248,0,0.5221774193548387,2.5799701022912522,3.7553464838270507,0.0918788129314927
XOM,1.3548249934338177,-0.004011571407318115,-1.3588365648411358,-0.0020319671207241763,246,252,0,0.5131313131313131,0.13326092096317388,0.1353798584704408,0.26912060010278727
