ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,0.12420141696929932,0.11683595736540076,0.061031687237661725,326,79,93,0.5198019801980198,0.35903984204167017,0.32119159670600267,0.30648275077004994
AXP,0.22046921344507808,-0.2135072946548462,-0.4339765080999243,-0.1144379350613215,309,106,83,0.4855072463768116,-0.36137681677071454,-0.32960601913694293,0.4502804792168011
BA,-0.07882387118420486,-0.19808858633041382,-0.11926471514620895,-0.10569502733538128,322,77,99,0.5100502512562815,-0.23498330286416805,-0.2041006999909434,0.4290325403522674
CAT,0.23573711340327863,-0.40406274795532227,-0.6397998613586009,-0.230433678625536,293,119,86,0.48058252427184467,-0.7979338410792914,-0.6755222912274162,0.4532112004211105
CSCO,0.05026452267676018,0.03578794002532959,-0.014476582651430592,0.017952276917160503,293,106,99,0.5127551020408163,0.2110928844903995,0.17736695271400676,0.24213815064583816
CVX,0.9594979092043732,0.27227580547332764,-0.6872221037310455,0.1295894871484864,261,122,115,0.5602094240837696,0.6280471013351495,0.5568631105532852,0.22676056217241777
DD,-0.18278168004202977,-0.328116238117218,-0.14533455807518825,-0.18227612899272383,292,108,98,0.4472361809045226,-0.5342629440603578,-0.5369557431945252,0.4827767957130561
DIS,-0.5148807916132807,-0.019711852073669434,0.4951689395396113,-0.01002371737019292,301,114,83,0.5157384987893463,0.07645057869176791,0.0687578845626562,0.25505901195753605
GE,-0.08526199381769828,-0.4360397458076477,-0.3507777519899494,-0.25161384285987465,326,94,78,0.4721549636803874,-0.8187582653580926,-0.7564145017410252,0.45838988072230347
GS,0.16863499497986179,-0.3136923313140869,-0.4823273262939487,-0.17343959054513458,289,130,79,0.4665071770334928,-0.5999075084102111,-0.5536807658292902,0.37426010726668424
HD,0.16454659350909373,-0.4542950391769409,-0.6188416326860346,-0.26397195955363184,321,98,79,0.4892086330935252,-1.2904335365569017,-1.0469540790435958,0.5437910651578808
IBM,0.14614200697340052,-0.18190133571624756,-0.3280433426896481,-0.09660522408466854,274,137,87,0.49878345498783455,-0.37094602329716914,-0.32629334711564983,0.4226783269251653
INTC,-0.4871944152951446,-0.1675853729248047,0.31960904237033994,-0.08863998553599672,280,132,86,0.5122549019607843,-0.19477413871326374,-0.15756972332825533,0.34909328049804816
JNJ,0.10842692670342746,-0.06470519304275513,-0.1731321197461826,-0.033283229816440385,304,99,95,0.4688279301745636,-0.1081464829487147,-0.09904661463625405,0.27240667030749816
JPM,-0.028612798702809528,-0.01755213737487793,0.011060661327931598,-0.008920648842027035,320,102,76,0.5059952038369304,0.09406847898759366,0.08027817896052987,0.29354919369815874
KO,0.26713146700412294,-0.4173606038093567,-0.6844920708134796,-0.23917168051468696,283,106,109,0.47164948453608246,-1.6507059949413674,-1.2539718769162127,0.4763689266669848
MCD,0.2301265183912824,0.16649127006530762,-0.06363524832597478,0.08104468779484408,320,99,79,0.5047846889952153,0.5709445210177132,0.5566241451401642,0.17055265175656334
MMM,-0.27409203432012896,0.006185173988342285,0.28027720830847125,0.0031250803962519225,298,109,91,0.5049261083743842,0.12472615238223954,0.10679858061300021,0.1941237215043584
MRK,0.36794815837694883,-0.30265921354293823,-0.6706073719198871,-0.16674211580653342,283,126,89,0.4520884520884521,-0.8560098974725426,-0.8205059565583005,0.5112042825712855
MSFT,0.10267139301606432,0.19260525703430176,0.08993386401823744,0.09322406528751093,335,97,66,0.5046728971962616,0.4786941749788783,0.4721004762035522,0.24775138225927498
NKE,-0.204284259041831,-0.22214502096176147,-0.017860761919930468,-0.11937282953568717,304,114,80,0.49038461538461536,-0.43426425940709346,-0.38199983694484085,0.4213713485552024
PFE,0.35663227581280976,-0.198522686958313,-0.5551549627711228,-0.10594003458825307,278,110,110,0.5116279069767442,-0.44986929970724243,-0.3716119335651279,0.33812805204228635
PG,0.09945586396842732,0.17232155799865723,0.07286569403022991,0.08377547731815471,317,93,88,0.48166259168704156,0.5349716584004618,0.5457287560910056,0.1627239523722054
RTX,0.44584518275896845,-0.05481690168380737,-0.5006620844427758,-0.028124846699256967,264,123,111,0.5208333333333334,-0.02576901568794157,-0.020408499510453617,0.4143727037859963
TRV,0.3642582804721688,-0.020524203777313232,-0.384782484249482,-0.010438934487462581,300,94,104,0.5228426395939086,0.03824440120528803,0.034010097550553,0.193976854116115
UNH,0.46966040935767506,-0.21485090255737305,-0.6845113119150481,-0.11520379864161978,312,107,79,0.4701670644391408,-0.4500472159857142,-0.43453971055704455,0.3119439066113543
VZ,-0.31430556641749197,-0.23477774858474731,0.07952781783274465,-0.12663914935077902,247,137,114,0.5,-0.7785041703123968,-0.6320182907826455,0.38083700703631695
WBA,-0.2167714882013495,-0.1551029086112976,0.0616685795900519,-0.08174993736575664,307,115,76,0.505938242280285,-0.19370264402165424,-0.16842787773819698,0.27878250864889953
WMT,-0.037341350076458446,-0.3045821189880371,-0.26724076891157866,-0.16790559756967116,299,100,99,0.473551637279597,-0.8436005654934706,-0.7023718322849234,0.4276094086714566
XOM,1.3548249934338177,-0.3067249655723572,-1.6615499590061749,-0.1692040317280864,270,109,119,0.5,-0.8693006555734805,-0.7577319057312956,0.3579914377846467
