ticker,price change,return,outperform,apy,# of long,# of short,# of hold,hit rate,sharpe,sortino,max drawdown
AAPL,0.007365459603898561,1.059495210647583,1.0521297510436844,0.44135353771576225,247,251,0,0.5291750503018109,1.4648530125813672,1.5451311645362606,0.29156144598183026
AXP,0.22046921344507808,0.6610021591186523,0.44053294567357426,0.29274429480264597,267,231,0,0.5150905432595574,1.072390305721411,1.2018036329024868,0.34049026994789533
BA,-0.07882387118420486,-0.49094223976135254,-0.4121183685771477,-0.28941331124507985,237,261,0,0.4869215291750503,-0.8333978650699966,-0.7556665634081333,0.6712760946778524
CAT,0.23573711340327863,0.15793108940124512,-0.07780602400203351,0.07702302538190375,255,243,0,0.5432595573440644,0.40816542445469517,0.3976068257155205,0.29979407063781144
CSCO,0.05026452267676018,0.17609786987304688,0.1258333471962867,0.08554064720748689,268,230,0,0.5030674846625767,0.46476903695795957,0.4609964815100822,0.26837709439830293
CVX,0.9594979092043732,-0.023757755756378174,-0.9832556649607513,-0.012093387702785119,272,226,0,0.5090543259557344,0.09750002804993722,0.10252021243164877,0.26143907177745573
DD,-0.18278168004202977,0.28503918647766113,0.4678208665196909,0.13530959537155973,245,253,0,0.5080971659919028,0.5389622342666349,0.6258821580137838,0.31538764275141806
DIS,-0.5148807916132807,0.6490025520324707,1.1638833436457514,0.2880099740127373,255,243,0,0.5403225806451613,1.0952996915966615,1.2059320730396303,0.3302401432346163
GE,-0.08526199381769828,-0.24234825372695923,-0.15708625990926095,-0.1310221076706407,264,234,0,0.49079754601226994,-0.22173936807152012,-0.2236992412463707,0.378623360108187
GS,0.16863499497986179,-0.15050667524337769,-0.31914167022323947,-0.07922559600772383,254,244,0,0.4768611670020121,-0.1724168620233561,-0.17896891596220976,0.39523774444659876
HD,0.16454659350909373,-0.21707242727279663,-0.38161902078189036,-0.11647150095648484,271,227,0,0.49696969696969695,-0.4002989195355766,-0.37309805365059795,0.38323490340696004
IBM,0.14614200697340052,0.21324706077575684,0.06710505380235632,0.10275831796837198,238,260,0,0.5100401606425703,0.5372288286057854,0.572147303599728,0.2815405810552423
INTC,-0.4871944152951446,-0.0010491609573364258,0.4861452543378082,-0.0005310383696907062,219,279,0,0.5212981744421906,0.14794115656905674,0.13539874142833808,0.2742683332201174
JNJ,0.10842692670342746,0.00305020809173584,-0.10537671861169162,0.0015423177539692912,246,252,0,0.49798387096774194,0.08542518298071855,0.08291079664473297,0.2975113037048259
JPM,-0.028612798702809528,0.3530237674713135,0.381636566174123,0.1653159996898812,238,260,0,0.5253549695740365,0.702609693225458,0.7438576601922899,0.27373888818787395
KO,0.26713146700412294,0.4575021266937256,0.19037065968960265,0.21001344542590528,238,260,0,0.5,1.0817273620067411,1.2795706881335127,0.1772424704514962
MCD,0.2301265183912824,0.464017391204834,0.2338908728135516,0.21274748978254898,275,223,0,0.5372233400402414,1.1603058028482558,1.1948981053815744,0.18124073113293798
MMM,-0.27409203432012896,0.17714214324951172,0.4512341775696407,0.08602827990574835,269,229,0,0.5331991951710262,0.467806527519444,0.4548960129172089,0.31067633827203955
MRK,0.36794815837694883,-0.18459773063659668,-0.5525458890135455,-0.09811315194830383,237,261,0,0.5,-0.4007806541677519,-0.3958457079107279,0.3836725288175547
MSFT,0.10267139301606432,0.12849104404449463,0.025819651028430313,0.06307844408098928,261,237,0,0.5182186234817814,0.3467360011495174,0.3522089665821839,0.2874542214905683
NKE,-0.204284259041831,0.023787617683410645,0.22807187672524165,0.011967212208878308,269,229,0,0.5060483870967742,0.18512620796503163,0.18724119810428017,0.26099804168245344
PFE,0.35663227581280976,0.4384411573410034,0.08180888152819366,0.2019799065227712,239,259,0,0.5222672064777328,0.9785749039634831,1.0106676864417745,0.15668348562755485
PG,0.09945586396842732,1.1274540424346924,1.027998178466265,0.4652278166763759,235,263,0,0.5513078470824949,2.2420253668914927,2.585721408765084,0.14910769724073886
RTX,0.44584518275896845,0.6755079030990601,0.2296627203400916,0.298444886350304,244,254,0,0.5414141414141415,1.2223146070978546,1.232118213285134,0.2019704167014486
TRV,0.3642582804721688,0.20495903491973877,-0.15929924555243002,0.09893985984792075,258,240,0,0.5352112676056338,0.5908224625502511,0.599491971438084,0.24446760531006256
UNH,0.46966040935767506,0.30648601055145264,-0.16317439880622242,0.14485848755906638,264,234,0,0.5060240963855421,0.7026634292528754,0.7577201836184858,0.21115936895234322
VZ,-0.31430556641749197,0.07179546356201172,0.3861010299795037,0.03570805607190075,206,292,0,0.5203252032520326,0.2764112131340219,0.26903702396234286,0.24049527821835792
WBA,-0.2167714882013495,-0.32471764087677,-0.10794615267542051,-0.18018566894525412,267,231,0,0.5,-0.537679632647261,-0.5185298646982467,0.4873640985395429
WMT,-0.037341350076458446,1.4482293128967285,1.485570662973187,0.5731441848051266,224,274,0,0.5161290322580645,2.1961938266815406,3.0608217523760928,0.11466294017888434
XOM,1.3548249934338177,-0.23261237144470215,-1.5874373648785198,-0.12538944390052265,277,221,0,0.49696969696969695,-0.37640432192841555,-0.37551083473611513,0.4232324644163347
