Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,110.2699966430664,110.41999816894531,108.73999786376953,110.38999938964844,69.48190307617188,6144100
2013-01-03,110.13999938964844,110.91999816894531,109.51000213623047,109.91999816894531,69.1860580444336,6817000
2013-01-04,109.98999786376953,110.62000274658203,109.9000015258789,110.5,69.5511245727539,4414500
2013-01-07,110.0199966430664,110.08999633789062,109.19000244140625,109.75,69.07908630371094,4861000
2013-01-08,109.4800033569336,109.69000244140625,109.0999984741211,109.26000213623047,68.7706527709961,6325400
2013-01-09,109.72000122070312,110.08000183105469,109.19999694824219,109.54000091552734,68.94688415527344,4558600
2013-01-10,110.19000244140625,110.76000213623047,110.08999633789062,110.47000122070312,69.53224182128906,5276400
2013-01-11,111.19999694824219,112.08000183105469,110.80000305175781,111.7300033569336,70.32532501220703,5456300
2013-01-14,111.37999725341797,112.94999694824219,111.3499984741211,112.8499984741211,71.03025817871094,6373900
2013-01-15,112.26000213623047,113.47000122070312,112.1500015258789,113.44000244140625,71.40164947509766,5637600
2013-01-16,113.30999755859375,114.33000183105469,113.16999816894531,113.97000122070312,71.73523712158203,6148500
2013-01-17,114.7300033569336,115.86000061035156,114.58999633789062,114.73999786376953,72.21988677978516,6966000
2013-01-18,115.2300033569336,115.23999786376953,114.05999755859375,115.23999786376953,72.53460693359375,8538000
2013-01-22,115.11000061035156,115.94000244140625,114.52999877929688,115.91000366210938,72.95630645751953,5398000
2013-01-23,115.3499984741211,115.9000015258789,114.93000030517578,115.01000213623047,72.38982391357422,5031800
2013-01-24,115.48999786376953,116.37000274658203,115.27999877929688,115.5,72.6982421875,4895800
2013-01-25,115.5199966430664,116.37999725341797,115.1500015258789,116.19999694824219,73.13884735107422,4745400
2013-01-28,116.55999755859375,116.58000183105469,115.41000366210938,116.04000091552734,73.03813171386719,4520500
2013-01-29,116.27999877929688,117.4000015258789,116.25,117.20999908447266,73.77457427978516,4370100
2013-01-30,117.06999969482422,117.5,116.26000213623047,116.44999694824219,73.29619598388672,5168200
2013-01-31,116.22000122070312,116.9000015258789,115.1500015258789,115.1500015258789,72.47795104980469,7777900
2013-02-01,115.83999633789062,116.69000244140625,115.05000305175781,116.5,73.32767486572266,6415900
2013-02-04,115.0199966430664,115.88999938964844,114.29000091552734,115.19999694824219,72.50941467285156,6397600
2013-02-05,115.73999786376953,116.37999725341797,115.51000213623047,115.80999755859375,72.89337921142578,5067800
2013-02-06,115.43000030517578,115.91999816894531,114.8499984741211,115.91000366210938,72.95630645751953,4459800
2013-02-07,115.98999786376953,116.0,114.33000183105469,115.0199966430664,72.39611053466797,5423900
2013-02-08,114.93000030517578,115.77999877929688,114.9000015258789,115.63999938964844,72.78636932373047,4457200
2013-02-11,115.68000030517578,115.83999633789062,115.01000213623047,115.63999938964844,72.78636932373047,3766300
2013-02-12,115.72000122070312,116.83999633789062,115.51000213623047,116.5,73.32767486572266,4530600
2013-02-13,115.43000030517578,115.83999633789062,114.91000366210938,115.52999877929688,73.28326416015625,4111000
2013-02-14,115.16000366210938,116.26000213623047,115.06999969482422,115.70999908447266,73.39742279052734,5226400
2013-02-15,115.5,115.69999694824219,114.02999877929688,114.95999908447266,72.92168426513672,6353200
2013-02-19,115.19000244140625,116.26000213623047,115.19000244140625,115.91999816894531,73.53067016601562,5023300
